#ID,,,,,,,,
21,,,,,,,,
X_position,Y_position,Time,year,month,day,hour,minute,second
915.26019,634.56459,56259.396,2017,9,28,15,37,39.396
892.78997,628.77703,56259.416,2017,9,28,15,37,39.416
864.70219,611.41435,56259.447,2017,9,28,15,37,39.447
843.03448,584.13014,56259.477,2017,9,28,15,37,39.477
834.2069,560.15311,56259.496,2017,9,28,15,37,39.496
829.39185,527.08134,56259.526,2017,9,28,15,37,39.526
830.99687,503.9311,56259.546,2017,9,28,15,37,39.546
838.21944,481.60766,56259.576,2017,9,28,15,37,39.576
851.05956,463.41818,56259.596,2017,9,28,15,37,39.596
866.30721,451.01627,56259.616,2017,9,28,15,37,39.616
884.76489,443.57512,56259.636,2017,9,28,15,37,39.636
902.42006,439.44115,56259.666,2017,9,28,15,37,39.666
918.47022,437.78756,56259.686,2017,9,28,15,37,39.686
932.11285,436.13397,56259.706,2017,9,28,15,37,39.706
941.74295,433.65359,56259.726,2017,9,28,15,37,39.726
945.75549,432.82679,56259.746,2017,9,28,15,37,39.746
947.3605,432,56259.776,2017,9,28,15,37,39.776
945.75549,430.34641,56259.796,2017,9,28,15,37,39.796
936.9279,427.03923,56259.816,2017,9,28,15,37,39.816
927.29781,424.55885,56259.836,2017,9,28,15,37,39.836
910.44514,422.90526,56259.856,2017,9,28,15,37,39.856
890.38245,421.25167,56259.886,2017,9,28,15,37,39.886
868.71473,418.77129,56259.906,2017,9,28,15,37,39.906
843.83699,415.46411,56259.926,2017,9,28,15,37,39.926
819.76176,410.50335,56259.946,2017,9,28,15,37,39.946
796.48903,402.23541,56259.976,2017,9,28,15,37,39.976
773.2163,392.31388,56259.996,2017,9,28,15,37,39.996
752.3511,382.39234,56260.017,2017,9,28,15,37,40.017
733.09091,371.64402,56260.036,2017,9,28,15,37,40.036
714.63323,361.72249,56260.057,2017,9,28,15,37,40.057
699.38558,352.62775,56260.086,2017,9,28,15,37,40.086
687.34796,345.1866,56260.106,2017,9,28,15,37,40.106
682.53292,341.87943,56260.126,2017,9,28,15,37,40.126
678.52038,338.57225,56260.166,2017,9,28,15,37,40.166
672.10031,336.09187,56260.176,2017,9,28,15,37,40.176
672.10031,335.26507,56260.196,2017,9,28,15,37,40.196
676.91536,341.87943,56260.216,2017,9,28,15,37,40.216
685.74295,349.32057,56260.246,2017,9,28,15,37,40.246
841.42947,518.8134,56260.426,2017,9,28,15,37,40.426
920.87774,604.8,56260.436,2017,9,28,15,37,40.436
1014.7712,694.09378,56260.466,2017,9,28,15,37,40.466
1032.4263,695.74737,56260.496,2017,9,28,15,37,40.496
1043.6614,693.26699,56260.526,2017,9,28,15,37,40.526
1046.069,690.7866,56260.547,2017,9,28,15,37,40.547
1048.4765,688.30622,56260.626,2017,9,28,15,37,40.626
1029.2163,659.36842,56260.636,2017,9,28,15,37,40.636
1019.5862,646.96651,56260.667,2017,9,28,15,37,40.667
1004.3386,628.77703,56260.686,2017,9,28,15,37,40.686
990.69592,613.06794,56260.716,2017,9,28,15,37,40.716
976.25078,597.35885,56260.747,2017,9,28,15,37,40.747
967.4232,587.43732,56260.766,2017,9,28,15,37,40.766
956.9906,575.03541,56260.797,2017,9,28,15,37,40.797
948.16301,562.63349,56260.826,2017,9,28,15,37,40.826
939.33542,549.40478,56260.856,2017,9,28,15,37,40.856
928.90282,536.17608,56260.886,2017,9,28,15,37,40.886
921.68025,525.42775,56260.906,2017,9,28,15,37,40.906
914.45768,514.67943,56260.936,2017,9,28,15,37,40.936
906.4326,503.10431,56260.966,2017,9,28,15,37,40.966
896,488.22201,56260.986,2017,9,28,15,37,40.986
882.35737,474.16651,56261.016,2017,9,28,15,37,41.016
867.91223,458.45742,56261.046,2017,9,28,15,37,41.046
855.0721,446.0555,56261.066,2017,9,28,15,37,41.066
835.0094,427.86603,56261.096,2017,9,28,15,37,41.096
813.34169,411.33014,56261.126,2017,9,28,15,37,41.126
794.88401,398.10144,56261.146,2017,9,28,15,37,41.146
776.42633,386.52632,56261.176,2017,9,28,15,37,41.176
755.56113,375.77799,56261.196,2017,9,28,15,37,41.196
